Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
113.5,-24.5,62.418,-19.37278223,-0.004520191,4.79942E-08,-0.172467571,145.959259,145.959259,119.7769775,145.959259,0.000249461,34.79999924,34.79999924,21.40999985,21.40999985,6.08409E-06,2.75000002,0.001287533,3,9.88468E-06,2708,2197,1495,1838,1808.836487,29.64343262,0.013648728,0.013648246,0.022222996,0.022222996,2.60121E-08,28.54874802,0.000845471,-0.016225001,55.80053997,1799.767944,0
114,-22,50.343,12.3105278,-0.004234773,1.33518E-07,-0.374994334,85.99244308,85.99244308,94.62402344,85.99244308,0.000151564,34.40499973,34.40499973,27.78250027,27.78250027,9.29249E-06,171.9999997,0.019862557,2,1.32272E-05,2991,1977.75,1212,1559,1526.180054,-16.10795385,0.009317412,0.009317779,0.011326313,0.011326313,1.39785E-07,-47.4442482,0.000225456,-0.733219981,52.2865715,1799.219757,0
114.5,-26.5,69.598,-16.58882916,0.003298473,6.48057E-08,0.175780741,155.003418,155.003418,157.6807861,155.003418,0.000227001,34.29000092,34.29000092,30.38999939,30.38999939,4.69405E-06,73.75000001,0.001034928,2,8.85729E-06,2510,2442,1704,2059,2019.537994,-90.05234528,0.013498103,0.013502557,0.015259363,0.015259363,8.29679E-09,-81.62725067,0.000414977,-0.572210014,58.55895329,1799.852051,0
114.5,-23,78.476,-3.937612057,0.004124736,8.98662E-08,0.201355519,114.5262527,114.5262527,91.05535889,114.5262527,0.000320416,34,34,30.85000038,30.85000038,7.82509E-06,66.24999999,0.001393843,2,8.65179E-06,2891.5,2099,1316.5,1670,1632.222961,38.53423977,0.013997551,0.014001133,0.015398986,0.015398986,1.68862E-08,-54.22600174,0.001280718,1.498800039,55.74103165,1795.690002,0
115,-29.5,45.098,-43.23967934,-0.01502495,1.01674E-07,-0.498487773,165.3671722,165.3671722,136.4734802,165.3671722,0.000150612,35.03999901,35.03999901,29.8399992,29.8399992,3.1498E-06,10.99999972,0.009014386,3,1.29126E-05,2191.5,2765,2032,2393.5,2347.531494,-45.75679588,0.013584094,0.013569929,0.015851012,0.015851012,3.47387E-08,-60.21324921,0.001548232,0.471350014,61.49223709,1800.485474,0
115,-29,68.56,-42.00085068,-0.008546067,1.34485E-07,-0.336027181,165.8397026,165.8397026,143.2998962,165.8397026,0.000164852,34.8949995,34.8949995,30.17999983,30.17999983,3.20787E-06,211.7499996,0.011416216,3,1.14391E-05,2245.75,2714.5,1976.5,2337.75,2292.106934,-1.680121422,0.012867189,0.012907131,0.014624713,0.014624713,5.87815E-08,-23.28009987,0.00165268,0.306149989,62.16750336,1801.489746,0
115,-25,47.967,-19.7411499,0.000475255,2.28085E-08,0.016762108,174.4595985,174.4595985,149.3739624,174.4595985,0.000216902,33.99999905,33.99999905,32.34750032,32.34750032,3.50852E-06,137.5000002,0.006919647,2,5.5879E-06,2682.25,2317.75,1533,1892.75,1849.026001,-33.51132154,0.012793035,0.012803067,0.013485659,0.013485659,3.29123E-08,-90.37974548,0.000990335,1.499600053,60.28841782,1793.402283,0
115.5,-34,45.163,-28.88076019,-0.019105517,1.15705E-07,-0.428856744,145.9457397,145.9457397,111.0723877,145.9457397,0.000138034,35.625,35.625,31.57000065,31.57000065,3.73995E-06,137.7499998,0.01178297,3,1.32801E-05,1696.5,3243.5,2527.5,2393.5,2457.894043,15.15970153,0.006659064,0.006673505,0.007466251,0.007466251,4.61446E-08,17.37247467,0.000609597,5.279699802,40.25299263,1792.934998,0
115.5,-32,57.836,-71.07302475,-0.024270038,1.03132E-07,-0.852342555,161.8066025,161.8066025,141.421875,161.8066025,9.43256E-05,35.77000046,35.77000046,38.76000023,38.76000023,6.19669E-05,7.499999953,0.007400222,3,1.27349E-05,1918.5,3038,2305.5,2468,2533.583496,-44.25261784,0.006780625,0.00668176,0.006080559,0.006080559,2.78766E-08,-27.26449966,0.000139631,3.613399982,51.69530678,1795.382996,0
115.5,-30,61.759,-50.27662277,-0.018473457,9.20621E-08,-0.682604465,169.4033813,169.4033813,150.1560059,169.4033813,0.000106211,35.25999832,35.25999832,33.55999947,33.55999947,3.53587E-06,324.7500001,0.011953741,2,1.36833E-05,2141,2835.5,2083.5,2449.5,2400.767578,-45.16212845,0.009091127,0.009079111,0.009618305,0.009618305,1.59166E-07,27.23392487,0.001441111,2.15989995,59.34779739,1801.048462,0
