id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
11514,75,39.5,42.291,-44.49337959,-0.018923383,8.34195E-08,-0.549491067,98.75717545,98.75717545,98.75717545,98.75717545,0.00016946,52.22499847,52.22499847,52.22499847,52.22499847,1.78337E-05,2120.25,0.035555687,2,5.91063E-06,2973,1772.5,537.9499817,845.0999756,638.0585022,50065.05676,0.013875066,0.013863476,0.013863476,0.013863476,8.28974E-08,-5.960299969,0.000111212,-3.757499933,40.78378105,1853.52948,0
11582,76.5,38.5,54.886,-56.46424294,-0.022939896,7.42254E-08,-0.505870033,89.9438324,89.9438324,89.9438324,89.9438324,0.000187901,51.91999817,51.91999817,51.91999817,51.91999817,1.30054E-05,1690.25,0.028602234,1,4.29331E-06,2956,1745,496.6000061,682.2000122,468.9930038,-27.2564621,0.00634466,0.006336221,0.006336221,0.006336221,2.31547E-07,-34.52610016,0.001321672,-0.720300019,41.92130661,1845.927002,0
11605,77,38,40.281,-72.79225159,-0.018646522,1.56188E-07,-0.444782074,106.9172497,106.9172497,106.9172497,106.9172497,0.000217226,51.53999996,51.53999996,51.53999996,51.53999996,1.12008E-05,1440.75,0.012252833,1,3.37245E-06,2965.5,1726.75,485.7000122,614.5250092,396.3210144,24989.43558,0.017577156,0.017531168,0.017531168,0.017531168,5.4159E-07,-0.559499919,0.001036608,-0.091179997,42.43629837,1843.630768,0
11630,77.5,37,39.755,56.07350159,0.001170338,1.77429E-07,0.094407769,131.3889809,131.3889809,131.3889809,131.3889809,0.000215589,51.23999977,51.23999977,51.23999977,51.23999977,7.23532E-06,3259.249998,0.19199146,1,1.40519E-06,2988,1668,448.3500061,494.1500092,293.6194916,49997.02464,0.013252251,0.01322938,0.01322938,0.01322938,2.55023E-07,87.68000031,0.000679048,-1.19780004,41.21274185,1846.007507,0
11631,77.5,37.5,36.112,-16.28855515,-0.010514253,2.21857E-07,-0.351194013,120.8156357,120.8156357,120.8156357,120.8156357,0.000212605,51.40999985,51.40999985,51.40999985,51.40999985,7.14002E-06,1802,0.014887711,1,2.10778E-06,2975,1710,480.2000122,543.4000244,330.4085007,-4.950725079,0.020648048,0.020627106,0.020627106,0.020627106,6.47562E-07,84.49549866,0.000586665,0.019851999,41.49408245,1837.383057,0
11654,78,37,45.152,51.09719086,0.000677731,2.20671E-07,0.096044801,123.25807,123.25807,123.25807,123.25807,0.000208944,51.21249962,51.21249962,51.21249962,51.21249962,9.06051E-06,4041.749999,0.193697272,1,1.12415E-06,2958.25,1698,480.6000061,477.0000076,256.7139893,49994.1754,0.008932083,0.008919345,0.008919345,0.008919345,2.58706E-07,62.63624954,0.001064678,-0.460350007,39.007061,1842.838501,0
11655,78,39.5,44.919,-32.22393417,-0.009997497,1.611E-07,-0.252590601,102.83078,102.83078,102.83078,102.83078,0.000250859,48.46500015,48.46500015,48.46500015,48.46500015,2.40782E-05,1139,0.000438471,2,4.58933E-06,2786,1912,665.5499878,740.75,483.4300079,98.29693985,0.019694048,0.019684213,0.019684213,0.019684213,4.67519E-08,160.5124969,0.000583144,2.932800055,38.42685509,1848.255005,0
11712,79.5,37.5,38.598,-52.88626194,-0.017649159,1.38839E-07,-0.625069232,98.59147644,98.59147644,98.59147644,98.59147644,0.000162956,50.29999924,50.29999924,50.29999924,50.29999924,2.30689E-05,1293,0.00105557,1,3.80534E-06,2855,1829,615.7000122,497.6000061,233.4150009,67.25797272,0.028495914,0.02848539,0.02848539,0.02848539,1.3855E-07,82.15875244,0.000915786,2.798399925,38.76846313,1836.807007,0
11713,79.5,39.5,52.512,-19.86712074,-0.009524677,8.12401E-08,-0.204733589,133.7588348,133.7588348,133.7588348,133.7588348,9.80218E-05,45.59000015,45.59000015,45.59000015,45.59000015,2.85488E-05,1116.75,0.000700437,2,3.90807E-06,2694,1992,755.7000122,719.7000122,448.7842407,54.47550201,0.020875021,0.020902762,0.020902762,0.020902762,1.2863E-08,150.3825073,0.000996739,5.182099819,40.73248482,1839.199951,0
11746,80.5,38.5,52.652,-21.31727314,-0.013456305,4.50912E-08,-0.37823221,113.5208969,113.5208969,113.5208969,113.5208969,0.000256924,46.91999817,46.91999817,46.91999817,46.91999817,2.74416E-05,1189.75,0.001231982,1,3.96609E-06,2714,1970,757.2000122,609.4000244,335.2637482,109.9063721,0.021520182,0.021530956,0.021530956,0.021530956,1.23846E-07,147.8625031,0.001399451,5.605199814,40.89100456,1828.852051,0
11763,81,39.5,47.46,-35.44342709,-0.024150169,2.10126E-07,-0.556362612,128.266037,128.266037,128.266037,128.266037,0.000235033,43.6799984,43.6799984,43.6799984,43.6799984,2.2649E-05,1092,0.000853308,2,3.89259E-06,2604,2080,858.0500183,726.1499939,447.9499969,9.411270618,0.02306029,0.02322316,0.02322316,0.02322316,1.04632E-08,100.0505066,0.001155827,5.771100044,42.84648895,1830.294495,0
11771,81.5,41,43.296,-91.59621811,-0.042290118,1.48944E-07,-0.78707125,144.6699677,144.6699677,144.6699677,144.6699677,0.000161878,42.31999969,42.31999969,42.31999969,42.31999969,6.43753E-06,1002.25,0.000967982,1,4.01841E-06,2456.5,2230,994.5,748.8500061,620.8974915,-53.56907272,0.026379041,0.026457824,0.026457824,0.026457824,2.68881E-09,26.80684853,0.001437737,2.827899933,42.30476952,1848.765991,0
11786,82,40,36.21,-86.61127472,-0.042210674,1.56555E-07,-0.782224509,122.1012077,122.1012077,122.1012077,122.1012077,0.000251274,43.84749889,43.84749889,43.84749889,43.84749889,2.12669E-05,1035.75,0.001123985,1,3.69713E-06,2504.75,2124,958.6000061,729.8000031,522.3179932,28.46380925,0.024255442,0.02438102,0.02438102,0.02438102,8.8666E-08,78.69974518,0.00069076,4.886499882,44.52355576,1837.560761,0
11797,82.5,38.5,36.921,-41.32272625,-0.018923881,1.20275E-07,-0.642907217,79.36438751,79.36438751,79.36438751,79.36438751,0.000212493,47.5,47.5,47.5,47.5,2.15146E-05,1172.25,0.002830225,2,4.82778E-06,2597,1986,873.7000122,646.2000122,391.916748,74.29231262,0.020049149,0.020061369,0.020061369,0.020061369,9.24551E-09,48.00424957,0.000995413,4.337900162,41.39231205,1831.879028,0
11798,82.5,41.5,36.986,-82.32172394,-0.041135596,1.85199E-07,-0.91586802,137.4218597,137.4218597,137.4218597,137.4218597,9.9334E-05,42.40000153,42.40000153,42.40000153,42.40000153,1.03012E-05,1000.75,0.001054508,1,2.95398E-06,2357,2217,1093,652.2000122,695.3437347,-55.86977768,0.024320936,0.024357426,0.024357426,0.024357426,1.27657E-07,-31.2812252,0.001505678,1.755100012,41.74845409,1853.041016,0
11799,82.5,42,51.596,-74.10021973,-0.029771167,2.20068E-07,-0.881052081,140.6083298,140.6083298,140.6083298,140.6083298,0.000185476,42.08500099,42.08500099,42.08500099,42.08500099,7.14501E-06,1552,0.04344942,1,2.827E-06,2319.5,2258,1130,637.1499939,748.2399902,-45.40179634,0.012590626,0.012620009,0.012620009,0.012620009,2.11671E-07,-91.72525024,0.000450945,1.04550004,40.96796226,1857.726501,0
