id,Lon,Lat,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
109972,102.40469,19,-34.22113202,-0.010001789,-0.651565444,62.09633326,62.09633326,62.09633326,62.09633326,38.16473426,38.16473426,38.16473426,38.16473426,38.16473426,38.16473426,1112.404101,3.1011725,767.1461502,103.8475482,952.3353285,506.3720292,720.82365,99999,0.010247554,0.01024384,0.01024384,0.01024384,0.01024384,0.01024384,-15.22182087,-6.480685627,29.14655734,1819.546838,0
109973,102.93255,19,-32.71217096,-0.011983598,-0.673532359,66.04950592,66.04950592,66.04950592,66.04950592,38.23027805,38.23027805,38.23027805,38.23027805,38.23027805,38.23027805,1129.738501,3.2331375,814.7404085,149.8626349,1007.587978,468.0394352,700.3448148,99999,0.011404578,0.011398599,0.011398599,0.011398599,0.011398599,0.011398599,-25.16975098,-6.719995273,29.49807302,1819.176227,0
109974,103.46041,19,-25.10375743,-0.012628483,-0.661636978,69.93842603,69.93842603,69.93842603,69.93842603,38.26722909,38.26722909,38.26722909,38.26722909,38.26722909,38.26722909,371.4409001,3.3651025,862.7492658,196.2694453,1062.854927,414.5144264,662.2423706,99999,0.011399543,0.011406215,0.011406215,0.011406215,0.011406215,0.011406215,-25.58581838,-7.015767267,29.28416015,1818.828111,0
109975,103.98827,19,-16.60177498,-0.01213453,-0.643888386,73.49817776,73.49817776,73.49817776,73.49817776,38.07469171,38.07469171,38.07469171,38.07469171,38.07469171,38.07469171,1315.989496,3.4970675,912.2962005,219.9155525,1118.26835,362.088025,621.5580701,99999,0.011296277,0.011297272,0.011297272,0.011297272,0.011297272,0.011297272,-28.99206078,-7.368277749,28.98741207,1819.2124,0
110642,96.352941,19.5,-10.96569357,0.001558537,0.055842526,63.75481465,63.75481465,63.75481465,63.75481465,34.60353125,34.60353125,34.60353125,34.60353125,34.60353125,34.60353125,106.9263699,3,479.7794109,47.3770628,349.055871,-24.71998083,201.6000764,99999,0.016823334,0.016829761,0.016829761,0.016829761,0.016829761,0.016829761,-42.26132262,0.790448604,27.16110884,1823.034069,0
110643,96.882353,19.5,-19.85643177,0.001670708,0.062190695,57.00894006,57.00894006,57.00894006,57.00894006,34.62588378,34.62588378,34.62588378,34.62588378,34.62588378,34.62588378,1229.117819,3,484.2382408,80.16853276,398.7676565,-9.095876745,237.0534739,99999,0.014990437,0.015006671,0.015006671,0.015006671,0.015006671,0.015006671,-46.84938167,-0.342367796,26.71342536,1823.541863,0
110644,97.411765,19.5,-22.33931886,0.000127716,0.006227752,51.74782147,51.74782147,51.74782147,51.74782147,34.68941266,34.68941266,34.68941266,34.68941266,34.68941266,34.68941266,396.0867009,3,491.4911916,129.652669,449.538264,33.86061261,280.3318483,99999,0.01495703,0.014967753,0.014967753,0.014967753,0.014967753,0.014967753,-33.93393111,-1.414282312,26.96258351,1824.534511,0
110645,97.941176,19.5,-22.99139234,-0.002099148,-0.083878178,50.94096737,50.94096737,50.94096737,50.94096737,34.92499978,34.92499978,34.92499978,34.92499978,34.92499978,34.92499978,978.0916813,3,508.2294128,183.0323,501.8087714,84.73172103,325.8458417,55893.17851,0.014856504,0.014878561,0.014878561,0.014878561,0.014878561,0.014878561,-21.24589403,-2.386081408,27.41083818,1824.574686,0
110650,100.58824,19.5,-18.32104535,-0.004439745,-0.294521234,51.51649419,51.51649419,51.51649419,51.51649419,37.02912186,37.02912186,37.02912186,37.02912186,37.02912186,37.02912186,1010.6964,3,653.3797813,85.37988644,769.897535,352.506363,579.0276191,8827.799544,0.011293356,0.011286914,0.011286914,0.011286914,0.011286914,0.011286914,-53.42359578,-5.746144713,27.96879443,1821.483607,0
110651,101.11765,19.5,-18.5565638,-0.004918259,-0.383161947,52.75350416,52.75350416,52.75350416,52.75350416,37.38382559,37.38382559,37.38382559,37.38382559,37.38382559,37.38382559,866.4359965,3,693.4561247,39.42180386,824.4797254,407.1414814,629.323286,61766.01271,0.012683747,0.012670923,0.012670923,0.012670923,0.012670923,0.012670923,-47.13238345,-6.127931221,28.10058062,1821.079117,0
110652,101.64706,19.5,-21.70162199,-0.006312776,-0.51591028,54.31439182,54.31439182,54.31439182,54.31439182,37.70029397,37.70029397,37.70029397,37.70029397,37.70029397,37.70029397,758.0741999,3,734.5471768,16.86832037,879.1354368,454.3941861,677.5970024,99999,0.012576397,0.012569076,0.012569076,0.012569076,0.012569076,0.012569076,-29.58955387,-6.427971318,28.2536142,1820.76611,0
110653,102.17647,19.5,-24.55540309,-0.008166546,-0.601626507,56.71734823,56.71734823,56.71734823,56.71734823,37.91735199,37.91735199,37.91735199,37.91735199,37.91735199,37.91735199,749.7211002,3.06617625,778.2764299,55.1658396,933.9822999,482.4529161,711.5624528,99999,0.010153407,0.010147469,0.010147469,0.010147469,0.010147469,0.010147469,-26.76135797,-6.676652791,28.3596607,1820.69095,0
110654,102.70588,19.5,-26.82663003,-0.010042969,-0.626165185,59.40399909,59.40399909,59.40399909,59.40399909,38.08911694,38.08911694,38.08911694,38.08911694,38.08911694,38.08911694,1134.762402,3.264705,823.035083,97.55831279,988.80858,478.1678968,716.9113711,99999,0.010536427,0.0105339,0.0105339,0.0105339,0.0105339,0.0105339,-34.68722918,-6.910993131,28.37173299,1820.510564,0
110655,103.23529,19.5,-27.40151839,-0.011096241,-0.618091005,62.53646142,62.53646142,62.53646142,62.53646142,38.18970613,38.18970613,38.18970613,38.18970613,38.18970613,38.18970613,1133.5262,3.46323375,869.411386,146.3857989,1043.602515,423.0563126,700.0699537,99999,0.011406721,0.011403881,0.011403881,0.011403881,0.011403881,0.011403881,-31.27885611,-7.163415665,28.38870126,1820.164819,0
110656,103.76471,19.5,-25.85590024,-0.011308928,-0.609534993,66.03373872,66.03373872,66.03373872,66.03373872,38.17117651,38.17117651,38.17117651,38.17117651,38.17117651,38.17117651,1236.017801,3.66176625,916.7680115,178.6354166,1098.79455,368.0760424,655.4890673,99999,0.011036424,0.011030574,0.011030574,0.011030574,0.011030574,0.011030574,-18.55427426,-7.449513996,28.41179007,1819.995401,0
110657,104.29412,19.5,-24.39329144,-0.01014796,-0.58654348,69.89569888,69.89569888,69.89569888,69.89569888,38.03352878,38.03352878,38.03352878,38.03352878,38.03352878,38.03352878,744.0023998,3.75,965.1031704,194.3059478,1154.3826,313.2291632,610.4191759,99999,0.01110809,0.011100688,0.011100688,0.011100688,0.011100688,0.011100688,-21.38645286,-7.758277716,28.18689085,1820.002316,0
110658,104.82353,19.5,-22.99706506,-0.008270127,-0.536412235,71.50904014,71.50904014,71.50904014,71.50904014,37.60470479,37.60470479,37.60470479,37.60470479,37.60470479,37.60470479,546.0709009,3.75,1014.34419,177.1381889,1208.353,258.8028788,564.957417,67638.66202,0.010574977,0.010561302,0.010561302,0.010561302,0.010561302,0.010561302,-45.61488765,-8.051088812,27.76360661,1821.241543,0
110659,105.35294,19.5,-18.0757753,-0.006803251,-0.470648498,71.69146105,71.69146105,71.69146105,71.69146105,36.99058927,36.99058927,36.99058927,36.99058927,36.99058927,36.99058927,215.4513992,3.75,1064.161658,139.0736131,1261.294,204.6442423,513.9132056,14685.65447,0.011431239,0.011425623,0.011425623,0.011425623,0.011425623,0.011425623,-64.09394306,-8.273052796,27.40280253,1823.26496,0
111321,96.106195,20,-12.57682223,0.000624892,0.023124251,80.75513725,80.75513725,80.75513725,80.75513725,34.08497864,34.08497864,34.08497864,34.08497864,34.08497864,34.08497864,360.7132995,3,536.5993335,54.05718936,330.9175121,-8.013305751,137.1690141,99999,0.017072043,0.017112094,0.017112094,0.017112094,0.017112094,0.017112094,-45.65370847,1.533019098,26.55456397,1824.30086,0
111322,96.637168,20,-18.91081682,0.001999147,0.076727659,65.88215047,65.88215047,65.88215047,65.88215047,34.05017732,34.05017732,34.05017732,34.05017732,34.05017732,34.05017732,667.9174362,3,536.3508804,66.40518412,382.6305247,-36.46870595,179.7939379,99999,0.015538782,0.015567583,0.015567583,0.015567583,0.015567583,0.015567583,-56.5185956,0.372350826,26.0831954,1824.347416,0
