dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
train,2504,113.5,-24.5,62.418,-19.37278223,-0.004520191,-0.172467571,145.959259,145.959259,119.7769775,145.959259,34.79999924,34.79999924,21.40999985,21.40999985,2.75000002,3,2708,2197,1495,1838,1808.836487,29.64343262,0.013648728,0.013648246,0.022222996,0.022222996,28.54874802,-0.016225001,55.80053997,1799.767944,0,-1712330,7112627
train,2505,114,-22,50.343,12.3105278,-0.004234773,-0.374994334,85.99244308,85.99244308,94.62402344,85.99244308,34.40499973,34.40499973,27.78250027,27.78250027,171.9999997,2,2991,1977.75,1212,1559,1526.180054,-16.10795385,0.009317412,0.009317779,0.011326313,0.011326313,-47.4442482,-0.733219981,52.2865715,1799.219757,0,-1703290,7411061
train,2506,114.5,-26.5,69.598,-16.58882916,0.003298473,0.175780741,155.003418,155.003418,157.6807861,155.003418,34.29000092,34.29000092,30.38999939,30.38999939,73.75000001,2,2510,2442,1704,2059,2019.537994,-90.05234528,0.013498103,0.013502557,0.015259363,0.015259363,-81.62725067,-0.572210014,58.55895329,1799.852051,0,-1569330,6898957
train,2507,114.5,-23,78.476,-3.937612057,0.004124736,0.201355519,114.5262527,114.5262527,91.05535889,114.5262527,34,34,30.85000038,30.85000038,66.24999999,2,2891.5,2099,1316.5,1670,1632.222961,38.53423977,0.013997551,0.014001133,0.015398986,0.015398986,-54.22600174,1.498800039,55.74103165,1795.690002,0,-1632586,7302905
validation,2508,115,-29.5,45.098,-43.23967934,-0.01502495,-0.498487773,165.3671722,165.3671722,136.4734802,165.3671722,35.03999901,35.03999901,29.8399992,29.8399992,10.99999972,3,2191.5,2765,2032,2393.5,2347.531494,-45.75679588,0.013584094,0.013569929,0.015851012,0.015851012,-60.21324921,0.471350014,61.49223709,1800.485474,0,-1458860,6563779
train,2509,115,-29,68.56,-42.00085068,-0.008546067,-0.336027181,165.8397026,165.8397026,143.2998962,165.8397026,34.8949995,34.8949995,30.17999983,30.17999983,211.7499996,3,2245.75,2714.5,1976.5,2337.75,2292.106934,-1.680121422,0.012867189,0.012907131,0.014624713,0.014624713,-23.28009987,0.306149989,62.16750336,1801.489746,0,-1469030,6620938
train,2510,115,-25,47.967,-19.7411499,0.000475255,0.016762108,174.4595985,174.4595985,149.3739624,174.4595985,33.99999905,33.99999905,32.34750032,32.34750032,137.5000002,2,2682.25,2317.75,1533,1892.75,1849.026001,-33.51132154,0.012793035,0.012803067,0.013485659,0.013485659,-90.37974548,1.499600053,60.28841782,1793.402283,0,-1544902,7079978
train,2511,115.5,-34,45.163,-28.88076019,-0.019105517,-0.428856744,145.9457397,145.9457397,111.0723877,145.9457397,35.625,35.625,31.57000065,31.57000065,137.7499998,3,1696.5,3243.5,2527.5,2393.5,2457.894043,15.15970153,0.006659064,0.006673505,0.007466251,0.007466251,17.37247467,5.279699802,40.25299263,1792.934998,0,-1313604,6061164
train,2512,115.5,-32,57.836,-71.07302475,-0.024270038,-0.852342555,161.8066025,161.8066025,141.421875,161.8066025,35.77000046,35.77000046,38.76000023,38.76000023,7.499999953,3,1918.5,3038,2305.5,2468,2533.583496,-44.25261784,0.006780625,0.00668176,0.006080559,0.006080559,-27.26449966,3.613399982,51.69530678,1795.382996,0,-1357364,6287979
train,2513,115.5,-30,61.759,-50.27662277,-0.018473457,-0.682604465,169.4033813,169.4033813,150.1560059,169.4033813,35.25999832,35.25999832,33.55999947,33.55999947,324.7500001,2,2141,2835.5,2083.5,2449.5,2400.767578,-45.16212845,0.009091127,0.009079111,0.009618305,0.009618305,27.23392487,2.15989995,59.34779739,1801.048462,0,-1398892,6515589
