Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
77.5,37,35.817,56.07350159,0.001170338,0.094407769,131.3889809,131.3889809,131.3889809,131.3889809,51.23999977,51.23999977,51.23999977,51.23999977,51.23999977,51.23999977,3259.249998,1,2988,1668,448.3500061,494.1500092,293.6194916,49997.02464,0.013252251,0.01322938,0.01322938,0.01322938,0.01322938,0.01322938,87.68000031,-1.19780004,41.21274185,1846.007507,0
78,37,41.6,51.09719086,0.000677731,0.096044801,123.25807,123.25807,123.25807,123.25807,51.21249962,51.21249962,51.21249962,51.21249962,51.21249962,51.21249962,4041.749999,1,2958.25,1698,480.6000061,477.0000076,256.7139893,49994.1754,0.008932083,0.008919345,0.008919345,0.008919345,0.008919345,0.008919345,62.63624954,-0.460350007,39.007061,1842.838501,0
83.5,32.5,72.4,-15.94240522,-0.001088259,-0.051204734,116.6293945,116.6293945,116.6293945,116.6293945,57.90999985,57.90999985,57.90999985,57.90999985,57.90999985,57.90999985,4753,1.5,2308,1515,454.2000122,62.70000076,455.4905014,99999,0.005895302,0.00588964,0.00588964,0.00588964,0.00588964,0.00588964,-0.851200104,-6.838900089,34.00183916,1848.572021,0
88.5,34,46.7,-50.26630783,-0.021503495,-0.861967038,115.6254082,115.6254082,115.6254082,115.6254082,61.84000015,61.84000015,61.84000015,61.84000015,61.84000015,61.84000015,5260.999999,3,2228,1251.5,766.6500244,138.4500046,776.1400146,99999,0.005614991,0.005593207,0.005593207,0.005593207,0.005593207,0.005593207,12.46102524,-6.302000046,23.68121147,1856.054504,0
90,32,140,-18.09791946,-0.010125496,-0.475229901,120.7602634,120.7602634,120.7602634,120.7602634,64.0474987,64.0474987,64.0474987,64.0474987,64.0474987,64.0474987,4669.75,3,1970.75,997.6750031,558.5250015,186.4750004,985.6519775,-15.39158487,0.005347662,0.005363271,0.005363271,0.005363271,0.005363271,0.005363271,21.56800079,-3.358500004,26.99694633,1848.14801,0
90.5,28.5,106.286,-4.390347004,0.012487833,0.373271759,97.8446579,97.8446579,97.8446579,97.8446579,70.44999695,70.44999695,70.44999695,70.44999695,70.44999695,70.44999695,5087.75,2.625,1589,709.9000244,172.6000061,50.22000122,846.3317413,51.65664673,0.004159109,0.004136163,0.004136163,0.004136163,0.004136163,0.004136163,14.36004925,5.042300224,37.47785282,1845.473999,0
90.5,29,150,-21.35575962,0.002678789,0.102879724,104.4641533,104.4641533,104.4641533,104.4641533,69.9849968,69.9849968,69.9849968,69.9849968,69.9849968,69.9849968,4485.75,2.75,1640.5,742.8500061,228.25,38.28000069,886.0159912,-13.23197937,0.004160577,0.004126008,0.004126008,0.004126008,0.004126008,0.004126008,2.198075056,3.648000002,35.30156517,1840.047485,0
90.5,30,120.25,-50.74484921,-0.012560792,-0.422876711,114.7146263,114.7146263,114.7146263,114.7146263,67.69999695,67.69999695,67.69999695,67.69999695,67.69999695,67.69999695,4683.749995,3,1744.5,812.6499939,339.5,38.18499947,949.4049988,-49.75756836,0.00360343,0.003604974,0.003604974,0.003604974,0.003604974,0.003604974,41.90049744,1.005100012,30.65239334,1834.937988,0
90.5,38.5,61,-40.1277895,-0.024852405,-0.753176022,70.93391418,70.93391418,70.93391418,70.93391418,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,4157,2.75,2168,1520,1214,393.2999878,973.0082703,41.82021332,0.018114021,0.018193207,0.018193207,0.018193207,0.018193207,0.018193207,-42.20175171,-3.40809989,32.64416027,1855.750977,0
91,29,137.4,-5.319261551,0.00418741,0.188600731,102.5550175,102.5550175,102.5550175,102.5550175,70.14999771,70.14999771,70.14999771,70.14999771,70.14999771,70.14999771,4602.5,2.5,1624.25,704.6499939,231.2500038,81.91499805,851.6560059,-21.14616442,0.004148258,0.004102255,0.004102255,0.004102255,0.004102255,0.004102255,-49.03549957,4.355100155,36.37188339,1841.803497,0
91,30,86,-26.21775627,-0.011882069,-0.450786379,113.3352013,113.3352013,113.3352013,113.3352013,68.1024971,68.1024971,68.1024971,68.1024971,68.1024971,68.1024971,4388.499997,3,1729.25,777.1749878,342.375,74.94249821,908.6279907,-46.23498815,0.004642723,0.004637371,0.004637371,0.004637371,0.004637371,0.004637371,42.10425186,1.56219995,32.23160934,1839.717743,0
91,30.5,185,-29.29879665,-0.015732347,-0.550286484,116.92173,116.92173,116.92173,116.92173,66.2899971,66.2899971,66.2899971,66.2899971,66.2899971,66.2899971,4899.500004,3,1782,815.0499878,397.9499969,80.36499786,941.7749939,-10.0803355,0.00513128,0.00514386,0.00514386,0.00514386,0.00514386,0.00514386,-0.327749968,0.316909999,30.49171066,1841.150513,0
91,37.5,58.8,-60.32534981,-0.029898102,-0.924214217,70.5622406,70.5622406,70.5622406,70.5622406,48.94499969,48.94499969,48.94499969,48.94499969,48.94499969,48.94499969,4320.25,3,2238.5,1405,1094.5,492.4500122,990.2875061,50012.56733,0.006053489,0.006083311,0.006083311,0.006083311,0.006083311,0.006083311,-16.08679962,-4.675000191,30.24217796,1858.502991,0
91,37.5,30.95,-60.32534981,-0.029898102,-0.924214217,70.5622406,70.5622406,70.5622406,70.5622406,48.94499969,48.94499969,48.94499969,48.94499969,48.94499969,48.94499969,4320.25,3,2238.5,1405,1094.5,492.4500122,990.2875061,50012.56733,0.006053489,0.006083311,0.006083311,0.006083311,0.006083311,0.006083311,-16.08679962,-4.675000191,30.24217796,1858.502991,0
91,38,58.435,-79.81199646,-0.0309248,-0.924137091,70.70822334,70.70822334,70.70822334,70.70822334,48.59999943,48.59999943,48.59999943,48.59999943,48.59999943,48.59999943,2866,3,2191.5,1450.75,1146.25,437.875,999.5319824,25009.8818,0.008699394,0.008774561,0.008774561,0.008774561,0.008774561,0.008774561,-45.54049683,-4.177599907,31.01788902,1857.561981,0
91.5,37.5,55.5,-65.82244301,-0.034810898,-0.944647591,69.90036011,69.90036011,69.90036011,69.90036011,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,3677.500001,3,2215,1379,1078,483.7000122,1033.780014,26.13465691,0.005988294,0.006006341,0.006006341,0.006006341,0.006006341,0.006006341,-29.59549904,-4.57310009,30.99457455,1856.688965,0
91.5,37.5,51.5,-65.82244301,-0.034810898,-0.944647591,69.90036011,69.90036011,69.90036011,69.90036011,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,3677.500001,3,2215,1379,1078,483.7000122,1033.780014,26.13465691,0.005988294,0.006006341,0.006006341,0.006006341,0.006006341,0.006006341,-29.59549904,-4.57310009,30.99457455,1856.688965,0
91.5,38,48.533,-93.52046204,-0.036794729,-0.930079218,70.33742905,70.33742905,70.33742905,70.33742905,49.24499893,49.24499893,49.24499893,49.24499893,49.24499893,49.24499893,3309.25,3,2168,1426,1130,428.5,1042.375,-0.646501541,0.005340161,0.005366476,0.005366476,0.005366476,0.005366476,0.005366476,-58.52674866,-4.173999786,31.73346043,1857.089966,0
91.5,38.5,59.5,-63.33499336,-0.034991775,-0.834328844,70.77449799,70.77449799,70.77449799,70.77449799,49.06999969,49.06999969,49.06999969,49.06999969,49.06999969,49.06999969,2715.5,2.75,2121,1473,1182,373.2999878,1056.585022,-27.42765999,0.017545671,0.017597727,0.017597727,0.017597727,0.017597727,0.017597727,-53.76499939,-3.664700031,33.79818296,1857.490967,0
92,29.5,61,-29.08899117,-0.004948308,-0.259512655,103.7291527,103.7291527,103.7291527,103.7291527,69.43499756,69.43499756,69.43499756,69.43499756,69.43499756,69.43499756,5142.000002,2.5,1648,669.2999878,279.5500031,157.2999954,798.9274902,-89.97006607,0.003962436,0.003945879,0.003945879,0.003945879,0.003945879,0.003945879,-3.631999493,4.224400043,39.58935165,1848.671997,0
92,34,47,-26.95859146,-0.0211703,-0.808350011,102.8366127,102.8366127,102.8366127,102.8366127,61.93250084,61.93250084,61.93250084,61.93250084,61.93250084,61.93250084,4782.75,3,2134.5,1043.024994,702.7000122,429.25,1089.748047,-3.329732701,0.00548196,0.00544796,0.00544796,0.00544796,0.00544796,0.00544796,15.45575047,-3.933000088,33.58021545,1853.158966,0
92,36.5,48.5,-37.21181107,-0.027001056,-0.776134882,76.90823746,76.90823746,76.90823746,76.90823746,51.48999977,51.48999977,51.48999977,51.48999977,51.48999977,51.48999977,4062.750001,3,2289.5,1262.5,958.4500122,553.5,1067.038025,43.49635172,0.007931584,0.007942181,0.007942181,0.007942181,0.007942181,0.007942181,2.049292564,-4.750899792,31.10977745,1852.394531,0
92,37.5,42.7,-71.31953621,-0.039494113,-0.971368855,70.82526779,70.82526779,70.82526779,70.82526779,50.44499969,50.44499969,50.44499969,50.44499969,50.44499969,50.44499969,3135.5,3,2192.5,1355.5,1063.5,482.2000122,1077.272522,7.357969761,0.005493235,0.00550892,0.00550892,0.00550892,0.00550892,0.00550892,-39.79450226,-4.436699867,31.74697113,1860.151978,0
92,38,44.15,-107.2289276,-0.041660081,-0.926036661,70.85739326,70.85739326,70.85739326,70.85739326,50.64750004,50.64750004,50.64750004,50.64750004,50.64750004,50.64750004,2705.75,3,2145.25,1403.25,1116.25,426.9000015,1085.218018,0.518533707,0.005012076,0.00503149,0.00503149,0.00503149,0.00503149,0.00503149,-58.03475189,-4.132400036,32.44903183,1858.997467,0
92,38.5,52.7,-72.58387375,-0.038783119,-0.854595876,70.88951874,70.88951874,70.88951874,70.88951874,50.85000038,50.85000038,50.85000038,50.85000038,50.85000038,50.85000038,2721.75,2.75,2098,1451,1169,371.5999908,1098.577026,-6.320902348,0.017004334,0.017057396,0.017057396,0.017057396,0.017057396,0.017057396,-41.43424988,-3.729300022,34.64439583,1857.842957,0
92.5,37.5,43.85,-84.64606953,-0.043418573,-0.967605623,71.75017548,71.75017548,71.75017548,71.75017548,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,2829.25,3,2170,1332,1049,480.7000122,1120.913757,-11.41871738,0.005005447,0.005011335,0.005011335,0.005011335,0.005011335,0.005011335,-37.07025146,-4.279500008,32.5367527,1863.61499,0
92.5,37.5,66,-84.64606953,-0.043418573,-0.967605623,71.75017548,71.75017548,71.75017548,71.75017548,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,51.47000122,2829.25,3,2170,1332,1049,480.7000122,1120.913757,-11.41871738,0.005005447,0.005011335,0.005011335,0.005011335,0.005011335,0.005011335,-37.07025146,-4.279500008,32.5367527,1863.61499,0
